Ano de Lançamento, 1983.. O Ano Azul 
2011, O Amor Chega Tarde 
2011, O Casamento Do Meu Ex 
2011, O Céu Sobre Os Ombros 
2011, O Dia Em Que Eu Não Nasci 
2011, O Discurso Do Rei 
2011, O Filme Dos Espíritos 
2011, O Garoto Da Bicicleta 
2011, O Gringo 
2011, O Guarda 
2011, O Homem Ao Lado 
2011, O Homem Do Futuro 
2011, O Mágico 
2011, O Mineiro E O Queijo 
2011, O Mistério Da Rua 7 
2011, O Noivo Da Minha Melhor Amiga 
2011, O Palhaço 
2011, O Planeta Dos Macacos: A Origem 
2011, O Poder E A Lei 
2011, O Preço Do Amanhã 
2011, O Primeiro Que Disse 
2011, O Retorno De Johnny English 
2011, O Retrato De Dorian Gray 
2011, O Ritual 
2011, O Samba Que Mora Em Mim 
2011, O Sequestro De Um Herói 
2011, O Turista 
2011, O Último Dançarino De Mao 
2011, O Último Voo Do Flamingo 
2011, O Vencedor 
2011, O Zelador Animal 
2011, Onde Está A Felicidade? 
2011, Operação Presente 
2011, Os 3 
2011, Os Agentes Do Destino 
2011, Os Especialistas 
2011, Os Monstros 
2011, Os Muppets 
2011, Os Nomes Do Amor 
2011, Os Pinguins Do Papai 
2011, Os Residentes 
2011, Os Smurfs 
2011, Os Três Mosqueteiros 
2011, Outubro 
2011, Pacific 
2011, Padre 
2011, Palavra Cantada 3D 
2011, Pânico 4 
2011, Para Poucos 
2011, Passe Livre 
2011, Passione 
2011, Piratas Do Caribe: Navegando Em Águas Misteriosas 
2011, Poema De Salvação 
2011, Poesia 
2011, Ponto Final 
2011, Porta A Porta – A Política Em Dois Tempos 
2011, Potiche: Esposa Troféu 
2011, Premonição 5 
2011, Professora Sem Classe 
2011, Pronta Para Amar 
2011, Pronto Para Recomeçar 
2011, Prova De Artista 
2011, Qual Seu Número? 
2011, Qualquer Gato 
2011, Que Mais Posso Querer 
2011, Quebradeiras 
2011, Quebrando O Tabu 
2011, Quero Matar Meu Chefe 
2011, Rádio Nacional 
2011, Rango 
2011, Redenção 
2011, Reencontrando A Felicidade 
2011, Reféns 
2011, Reidy – A Construção Da Utopia 
2011, Reino Dos Felinos 
2011, Restrepo 
2011, Ricky 
2011, Rio 
2011, Riscado 
2011, Rock Brasília - Era De Ouro 
2011, Românticos Anônimos 
2011, Roubo Nas Alturas 
2011, Santa Paciência 
2011, Santuário 
2011, Saturno Em Oposição 
2011, Se Beber, Não Case! 2 
2011, Se Não Nós, Quem? 
2011, Sem Limites 
2011, Sem Saída 
2011, Sequestro 
2011, Sexo Sem Compromisso 
